title,unit,startMonth,startYear,endMonth,endYear,where,detail
大数据与数据科学家经理,平安好学,九月,2016,当下,NA,上海，中国,"使用的语言 --- Python, R, RMarkdown, SQL, Spark, Hive."
大数据与数据科学家经理,平安好学,九月,2016,当下,NA,上海，中国,对客户生命周期阶段进行分类分析，以增加整体营业额。
大数据与数据科学家经理,平安好学,九月,2016,当下,NA,上海，中国,算法优化了正在进行的机器学习和深度学习模型，并检查了已实现模型的性能。
大数据与数据科学家经理,平安好学,九月,2016,当下,NA,上海，中国,建立了机器学习模型的退款客户并更新了退款模型。 退款总退款率降低到27％。
大数据与数据科学家经理,平安好学,九月,2016,当下,NA,上海，中国,实施并重新培训了Mozilla DeepSpeech库，以实现自动语音识别。
大数据与数据科学家经理,平安好学,九月,2016,当下,NA,上海，中国,为母语和非母语人士创建并测试了语音重音分类系统，召回率达99％。
Data Scientist (Consultant),PeriPlus AG (Part-Time),十一月,2018,六月,2019,线上,"使用的语言 --- Python, R, RMarkdown, SQL"
Data Scientist (Consultant),PeriPlus AG (Part-Time),十一月,2018,六月,2019,线上,建立和管理数据科学家团队。 构建计算机视觉项目。 引入生产人工智能，机器学习，深度学习项目。
Data Scientist (Consultant),PeriPlus AG (Part-Time),十一月,2018,六月,2019,线上,在三个月内从头创建了一个数据科学家团队。 训练有一定基础知识的候选人。
Data Scientist (Consultant),PeriPlus AG (Part-Time),十一月,2018,六月,2019,线上,使用对象检测和字符识别模型创建了一个集装箱号识别系统。 使用内部工具作为容器跟踪系统的一部分。
Data Scientist (Consultant),PeriPlus AG (Part-Time),十一月,2018,六月,2019,线上,内部客户面部识别系统。
自动驾驶技术工程师,海马自动投资集团有限公司研发中心,四月,2016,九月,2016,上海，中国,"使用的语言 --- C/C++, Python, Bash"
自动驾驶技术工程师,海马自动投资集团有限公司研发中心,四月,2016,九月,2016,上海，中国,CANBus连接激光雷达，雷达，以减少来自它们的原始数据中的噪声。
自动驾驶技术工程师,海马自动投资集团有限公司研发中心,四月,2016,九月,2016,上海，中国,优化设备的联合工作和逻辑兼容性。
资深程序员，数据分析师,Domus Sapiens,一月,2011,五月,2015,俄罗斯圣彼得斯堡,"使用的语言 --- C/C++, Assembler, Bash"
资深程序员，数据分析师,Domus Sapiens,一月,2011,五月,2015,俄罗斯圣彼得斯堡,我一个人从事过20多个大型和小型智能系统项目。 最著名和最复杂的案例之一是“莫斯科市的智能系统开发”。
资深程序员，数据分析师,Domus Sapiens,一月,2011,五月,2015,俄罗斯圣彼得斯堡,“莫斯科城市”项目由五栋风格各异，办公功能各异的高层建筑以及每栋建筑的旅馆组成。 每个楼层的要求都不相同，相当于一个小型的智慧城市系统。 我们成功完成了该项目，为此项目，Domus Sapiens获得了一些奖励。
资深程序员，数据分析师,Domus Sapiens,一月,2011,五月,2015,俄罗斯圣彼得斯堡,实现了创建并获得专利模型，以提高无线网络中的数据传输质量。
Software Engineer,ProDVD (Part-Time),October,2010,三月,2012,乌兹别克斯坦塔什干,使用的语言 --- C/C++
Software Engineer,ProDVD (Part-Time),October,2010,三月,2012,乌兹别克斯坦塔什干,ProDVD是位于塔什干的韩国/美国合资企业。 主要为手机和电视以及其他电子产品提供服务开发和生产程序。
Software Engineer,ProDVD (Part-Time),October,2010,三月,2012,乌兹别克斯坦塔什干,开发了适用于Android和iOS系统的手机智能卡王软件，使商务人士可以方便地组织和存储名片。
Software Engineer,ProDVD (Part-Time),October,2010,三月,2012,乌兹别克斯坦塔什干,开发了蓝光播放器的音频编码/解码部分。 我还发明了基于iOS系统的库中使用的单词识别软件。
教授助理,塔什干铁路工程学院,九月,2010,六月,2012,乌兹别克斯坦塔什干,进行以下学科的实验室和实践课程：
教授助理,塔什干铁路工程学院,九月,2010,六月,2012,乌兹别克斯坦塔什干,用C / C ++语言编程；
教授助理,塔什干铁路工程学院,九月,2010,六月,2012,乌兹别克斯坦塔什干,铁路上的网络和通信系统；
教授助理,塔什干铁路工程学院,九月,2010,六月,2012,乌兹别克斯坦塔什干,铁路运输信息系统。
教授助理,塔什干铁路工程学院,九月,2010,六月,2012,乌兹别克斯坦塔什干,为了协助教授进行研究工作，创建分析模型的应用程序部分和仿真部分。
